,display_name,total_score_level_2
341,Metadata,1.2384254000000001
342,Data management,0.5452297
343,Field trial,0.44378993
344,Constraint (computer-aided design),0.42548192
345,Interpersonal ties,0.91998888
346,Parity (physics),1.33793426
347,Composition (language),0.42492902
348,Cheating,0.98761153
349,Loyalty,0.505348
350,Predictive modelling,0.51273096
351,Bootstrapping (finance),0.45626238
352,Crop yield,0.4511853
353,Yield (engineering),0.43663988
354,Categorical variable,0.75769925
355,Logit,0.53811246
356,Probit model,0.5307213
357,Probit,0.465709
358,Weighting,1.4811667
359,Ordinary least squares,0.590977
360,Inverse,0.48280895
361,Regression,0.42799896
362,Propensity score matching,0.5483999
363,Bayesian probability,0.7517213
364,Differential effects,0.52125794
365,Differential (mechanical device),0.4510089
366,Longitudinal study,1.81109562
367,Depression (economics),0.41310394
368,Backlash,1.6601553
369,Hostility,1.694566
370,Family life,0.4373325
371,Pairwise comparison,0.9085567
372,Task (project management),0.54757416
373,Set (abstract data type),1.0083572
374,Group (periodic table),0.43266937
375,Power (physics),0.0
376,Collective efficacy,0.9032408
377,Built environment,0.75910556
378,Situational ethics,0.70690644
379,Crime prevention,0.44987997
380,Blood pressure,1.17676184
381,Human immunodeficiency virus (HIV),0.30991697
382,Body mass index,0.6579358
383,Lagging,0.41415682
384,Simplicity,0.7519859
385,Criticism,0.6314192
386,Pragmatism,0.60688555
387,Specification,0.43029627
388,Social stratification,1.02849472
389,Germination,0.0
390,Accountability,0.43058315
391,Natural (archaeology),0.49295092
392,Generosity,0.90701985
393,Debt,0.39377314
394,Sleep (system call),0.99449623
395,Bivariate analysis,0.4637305
396,Concordance,0.8755644
397,Trait,1.36755585
398,Ranking (information retrieval),0.63669753
399,Rank (graph theory),0.56122136
400,Compulsory education,0.6174838
401,Police brutality,0.41938528
402,Air pollution,1.64711903
403,Attendance,0.6734153
404,Pollution,0.5482616
405,Air quality index,0.7675476
406,Channel (broadcasting),0.45431376
407,Accidental,0.44571686
408,Extinction (optical mineralogy),0.62718487
409,Abundance (ecology),0.4279733
410,Habitat,0.0
411,Praise,0.8028251
412,Persona,0.7645182
413,Active listening,0.6976079
414,Humanity,0.6713155
415,Homo economicus,0.66945535
416,Meaning (existential),0.5659087
417,Commons,0.5547859
418,Paradigm shift,0.5526887
419,Sustainability,0.47811192
420,Life satisfaction,0.74471474
421,Joint (building),0.5069897
422,Macro,1.1745689
423,Macro level,0.9103892
424,Test (biology),0.88959914
425,Drug,0.43792045
426,Emigration,0.6980115
427,Bibliometrics,0.46849662
428,Table (database),0.48710537
429,Residence,0.7152428
430,Online research methods,0.46353295
431,Cardiorespiratory fitness,0.8162967
432,Exacerbation,0.6969617
433,Biomarker,0.50650465
434,Heart failure,0.48841804
435,Breath gas analysis,0.44068787
436,COPD,0.43965596
437,Asthma,0.43761203
438,Span (engineering),0.41805667
439,Dashboard,0.78656375
440,Visualization,0.41260922
441,Neutrality,0.6803216
442,Feeling,0.58357465
443,Proposition,0.54202676
444,Interdependence,0.5984598
445,Sex segregation,0.51718056
446,Microsimulation,0.5832703
447,Alternative medicine,0.0
448,Statistical model,0.5271784
449,Shift work,0.7683834
450,Circadian rhythm,0.48167384
451,Relevance (law),0.43726328
452,Digital Revolution,0.46130875
453,Information Age,0.45894045
454,Respondent,0.4522222
455,Nowcasting,0.85939515
456,Displacement (psychology),0.56468743
457,Black women,0.4854003
458,Athletes,0.5088761
459,Closing (real estate),0.652667
460,Precarity,0.6348115
461,Spell,0.7747861
462,Quarter (Canadian coin),0.45247215
463,Matching (statistics),0.4288196
464,Fell,0.5271739
465,Antibody,0.51619464
466,Theme (computing),0.43882725
467,Event (particle physics),1.0457671
468,Attrition,0.5556806
469,Dropout (neural networks),0.47965196
470,Regression analysis,0.21212253
471,Stratified sampling,0.4273953
472,Sexual violence,0.41481435
